country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Guinea-Bissau,100,200,200,500,500,550,780,1100,1400,1800,2100,2500,2800,3200,3500,3700,3900,4100,4300,4400,4500,4400,4300,4100,3800,3500,3400,3200,3000,2800,2600,2500,2300
Equatorial Guinea,200,200,500,500,500,500,570,680,800,940,1100,1200,1400,1500,1700,1900,2000,2200,2400,2600,2800,3000,3200,3200,3200,3400,3400,3500,3600,3700,3900,4000,4000
Guatemala,580,780,1000,1300,1600,1900,2200,2500,2800,3100,3300,3500,3700,3800,3900,3900,3800,3700,3500,3400,3200,3100,2900,2800,2600,2500,2400,2300,2200,2000,1900,1800,1700
Guyana,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Honduras,910,1100,1400,1700,2000,2300,2600,2900,3100,3300,3500,3600,3600,3600,3600,3500,3400,3200,3000,2800,2600,2400,2200,2000,1900,1700,1500,1400,1200,1100,1000,910,810
Haiti,4400,5300,6300,7200,8100,8900,9700,10k,11k,12k,12k,12k,13k,13k,13k,12k,12k,11k,11k,10k,9700,9100,8300,7800,7400,7100,6900,6600,6300,6200,6200,6300,6500
Indonesia,100,100,100,100,100,100,200,200,500,500,620,920,1300,1900,2600,3400,4400,5400,6600,7800,9100,10k,12k,13k,14k,15k,16k,17k,18k,18k,18k,18k,18k
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68k
Iran,100,100,200,200,200,200,200,500,500,500,500,500,500,500,530,580,630,680,720,760,810,840,860,890,930,980,1000,1000,1000,1000,1000,1000,1000
Jamaica,500,500,540,620,700,770,840,910,970,1000,1100,1100,1100,1100,1100,1000,970,900,840,820,800,790,780,750,700,650,610,590,560,530,520,500,500
